22.0,0,1,4,66830.0,4,2,13000.0,0,0,0,0,1,0,13.85,0.19,3.0,658,1,0
25.0,1,0,4,66880.0,3,2,15000.0,0,1,0,0,0,0,11.01,0.22,3.0,626,1,0
23.0,0,1,2,59747.0,0,2,15000.0,0,0,0,0,1,0,19.82,0.25,2.0,637,0,1
25.0,0,1,4,66863.0,5,2,10200.0,0,0,0,0,1,0,8.94,0.15,3.0,603,1,0
24.0,1,0,4,43239.0,0,0,7200.0,0,0,0,1,0,0,11.01,0.17,2.0,621,1,0
24.0,0,1,4,45766.0,1,0,7200.0,0,1,0,0,0,0,8.9,0.16,4.0,584,0,0
22.0,0,1,4,49047.0,0,0,7200.0,0,1,0,0,0,0,17.58,0.15,2.0,710,0,0
25.0,1,0,2,66911.0,1,2,2000.0,1,0,0,0,0,0,13.22,0.03,2.0,573,0,0
23.0,1,0,0,52711.0,2,0,7200.0,0,0,0,0,0,1,8.0,0.14,2.0,630,1,0
24.0,0,1,0,55050.0,1,0,7200.0,1,0,0,0,0,0,10.65,0.13,4.0,666,1,0
23.0,0,1,2,58429.0,4,0,7200.0,0,0,0,0,1,0,14.27,0.12,3.0,650,1,0
22.0,1,0,0,59683.0,0,2,10000.0,0,1,0,0,0,0,8.0,0.17,2.0,597,0,1
23.0,1,0,2,66822.0,1,0,4000.0,0,0,0,0,0,1,9.32,0.06,2.0,689,0,0
25.0,1,0,0,60969.0,0,0,7200.0,0,0,0,1,0,0,7.29,0.12,4.0,615,1,0
25.0,0,1,4,63273.0,0,0,7200.0,0,1,0,0,0,0,12.69,0.11,3.0,576,1,0
23.0,1,0,4,67208.0,0,5,10500.0,0,0,0,1,0,0,13.16,0.16,4.0,592,1,0
23.0,1,0,6,60843.0,1,0,7200.0,0,0,0,1,0,0,17.58,0.12,2.0,539,0,1
25.0,0,1,0,67098.0,4,2,4225.0,0,1,0,0,0,0,12.42,0.06,2.0,570,0,0
23.0,0,1,6,73111.0,4,0,7200.0,0,1,0,0,0,0,13.22,0.1,4.0,663,0,0
21.0,0,1,2,74302.0,0,0,7200.0,0,1,0,0,0,0,10.99,0.1,3.0,651,0,0
26.0,1,0,0,67478.0,1,5,6000.0,0,0,1,0,0,0,5.42,0.09,3.0,633,1,0
26.0,0,1,4,60702.0,3,2,15250.0,0,0,0,0,0,1,13.11,0.25,3.0,654,0,1
21.0,1,0,0,67335.0,0,2,3200.0,0,1,0,0,0,0,6.62,0.05,4.0,671,1,0
21.0,0,1,2,101982.0,0,0,7200.0,0,0,0,0,0,1,8.49,0.07,2.0,669,1,0
25.0,1,0,4,89072.0,0,0,7200.0,0,0,0,0,1,0,14.96,0.08,3.0,611,0,1
23.0,1,0,2,67676.0,1,2,21825.0,0,0,0,1,0,0,11.36,0.32,2.0,599,1,0
24.0,0,1,0,67749.0,2,2,12000.0,1,0,0,0,0,0,11.01,0.18,3.0,633,1,0
26.0,0,1,4,134026.0,2,0,7200.0,0,0,1,0,0,0,12.18,0.05,3.0,625,0,0
25.0,1,0,6,179789.0,1,0,7200.0,0,0,0,1,0,0,11.01,0.04,2.0,653,0,0
25.0,0,1,0,32871.0,3,0,7300.0,0,0,0,1,0,0,11.14,0.22,3.0,674,0,0
22.0,0,1,6,68261.0,1,2,9000.0,0,0,0,1,0,0,10.59,0.13,2.0,655,0,0
24.0,0,1,0,68208.0,0,2,10000.0,0,1,0,0,0,0,7.49,0.15,3.0,538,1,0
21.0,1,0,0,61553.0,1,0,7300.0,0,1,0,0,0,0,11.71,0.12,3.0,646,1,0
23.0,0,1,4,67987.0,0,2,6000.0,0,0,0,0,0,1,5.99,0.09,2.0,599,0,0
24.0,1,0,0,40585.0,3,0,7350.0,0,0,0,1,0,0,11.71,0.18,3.0,670,0,0
21.0,1,0,0,68287.0,0,2,5600.0,0,0,0,1,0,0,10.37,0.08,4.0,664,0,0
26.0,1,0,4,68226.0,3,2,15000.0,0,1,0,0,0,0,14.35,0.22,2.0,621,1,0
22.0,0,1,2,68228.0,0,2,4750.0,0,0,0,0,1,0,7.14,0.07,2.0,641,0,0
23.0,0,1,0,68109.0,2,5,15000.0,0,0,0,1,0,0,10.62,0.22,3.0,536,1,0
25.0,0,1,2,30933.0,1,0,7500.0,0,1,0,0,0,0,12.98,0.24,3.0,533,0,0
26.0,0,1,2,32150.0,0,0,7500.0,0,0,0,0,1,0,12.18,0.23,2.0,612,1,0
25.0,1,0,2,34756.0,0,0,7500.0,0,1,0,0,0,0,15.33,0.22,3.0,604,0,1
26.0,0,1,4,68398.0,4,2,12000.0,0,0,0,1,0,0,11.89,0.18,3.0,665,1,0
21.0,1,0,0,36804.0,0,0,7500.0,0,0,0,1,0,0,10.75,0.2,4.0,621,0,0
26.0,0,1,4,41611.0,2,0,7500.0,1,0,0,0,0,0,7.9,0.18,3.0,604,0,1
22.0,0,1,6,68078.0,1,2,2000.0,1,0,0,0,0,0,7.51,0.03,4.0,632,1,0
